fhwa_id,name,states,assigned_state,state_assignment_method,state_length_summary,designations,style,geometry_source,geometry_source_detail,segment_count,continuous_part_count,endpoint_marker_count,point_count,status,source_url
2477,A1A Scenic & Historic Coastal Byway,Florida,Florida,ArcGIS longest geometry length by State,Florida:71.0mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 2,78,3,6,581,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2477
13791,Acadia All-American Road,Maine,Maine,ArcGIS longest geometry length by State,Maine:42.0mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,8,1,2,890,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13791
2442,Alabama's Coastal Connection,Alabama,Alabama,ArcGIS longest geometry length by State,Alabama:121.4mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,43,4,8,1374,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2442
12398,Alaska Marine Highway,Alaska,Alaska,ArcGIS longest geometry length by State,Alaska:2506.4mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,31,23,46,932,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/12398
13793,Amish Country Byway,Ohio,Ohio,ArcGIS longest geometry length by State,Ohio:76.1mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,82,1,2,3186,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13793
10246,Arroyo Seco Historic Parkway - Route 110,California,California,ArcGIS longest geometry length by State,California:7.8mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,31,1,2,295,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/10246
13794,Ashley River Road,South Carolina,South Carolina,ArcGIS longest geometry length by State,South Carolina:13.3mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,21,1,2,381,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13794
2271,Baltimore's Historic Charles Street,Maryland,Maryland,ArcGIS longest geometry length by State,Maryland:10.8mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,21,1,2,438,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2271
2066,Bayou Teche Scenic Byway,Louisiana,Louisiana,ArcGIS longest geometry length by State,Louisiana:228.6mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 6,62,10,18,3097,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2066
81510,Bayshore Heritage Byway,New Jersey,New Jersey,ArcGIS longest geometry length by State,New Jersey:112.6mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 6,22,4,8,1527,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81510
2281,Beartooth Highway,"Montana, Wyoming",Wyoming,ArcGIS longest geometry length by State,Wyoming:34.8mi; Montana:31.7mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,6,1,2,1458,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2281
2599,Big Bend Scenic Byway,Florida,Florida,ArcGIS longest geometry length by State,Florida:207.1mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,54,1,2,1534,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2599
2062,Billy the Kid Trail,New Mexico,New Mexico,ArcGIS longest geometry length by State,New Mexico:84.1mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,719,1,2,3217,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2062
2280,Blue Ridge Parkway,"North Carolina, Virginia",North Carolina,ArcGIS longest geometry length by State,North Carolina:246.9mi; Virginia:213.5mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,30,3,5,7791,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2280
81499,Bold Coast Scenic Byway,Maine,Maine,FHWA first state fallback,,National Scenic Byway,national-scenic-byway-green,OSM补齐,OSRM public route over OSM road network using documented byway endpoints/waypoints,1,1,2,2551,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81499
81497,Boom or Bust Byway,Louisiana,Louisiana,FHWA first state fallback,,National Scenic Byway,national-scenic-byway-green,OSM补齐,OSRM public route over OSM road network using documented byway endpoints/waypoints,1,1,2,1200,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81497
64115,Brandywine Valley Scenic Byway,"Pennsylvania, Delaware",Delaware,ArcGIS longest geometry length by State,Delaware:12.8mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,26,1,2,309,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/64115
2144,Cascade Lakes Scenic Byway,Oregon,Oregon,ArcGIS longest geometry length by State,Oregon:68.7mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,3,1,2,371,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2144
2063,Cascade Loop,Washington,Washington,ArcGIS longest geometry length by State,Washington:422.7mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 6,971,1,2,11295,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2063
2282,Cherohala Skyway,"North Carolina, Tennessee",Tennessee,ArcGIS longest geometry length by State,Tennessee:22.5mi; North Carolina:17.9mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,6,1,2,728,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2282
2161,Cherokee Foothills Scenic Highway,South Carolina,South Carolina,ArcGIS longest geometry length by State,South Carolina:117.4mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,197,1,2,3563,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2161
2346,Cherokee Hills Byway,Oklahoma,Oklahoma,ArcGIS longest geometry length by State,Oklahoma:84.6mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,102,1,2,1199,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2346
2261,Chesapeake Country Scenic Byway,Maryland,Maryland,ArcGIS longest geometry length by State,Maryland:84.7mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 2,37,2,4,1107,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2261
2226,Chinook Scenic Byway,Washington,Washington,ArcGIS longest geometry length by State,Washington:91.6mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,8,1,2,1038,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2226
39538,"City of Las Vegas, Las Vegas Boulevard National Scenic Byway",Nevada,Nevada,ArcGIS longest geometry length by State,Nevada:4.2mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 1,1,1,2,27,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/39538
10346,Coal Heritage Trail,West Virginia,West Virginia,ArcGIS longest geometry length by State,West Virginia:148.1mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,344,2,4,10483,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/10346
60441,Colonial Parkway,Virginia,Virginia,ArcGIS longest geometry length by State,Virginia:22.5mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,28,1,2,1516,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/60441
2106,Colorado River Headwaters Byway,Colorado,Colorado,ArcGIS longest geometry length by State,Colorado:67.8mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,8,1,2,1081,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2106
2487,Connecticut River Byway,"Massachusetts, New Hampshire, Vermont",New Hampshire,ArcGIS longest geometry length by State,New Hampshire:241.1mi; Vermont:130.3mi; Massachusetts:37.7mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,160,6,10,10026,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2487
2451,Connecticut State Route 169,Connecticut,Connecticut,ArcGIS longest geometry length by State,Connecticut:31.9mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,13,1,2,747,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2451
13828,Copper Country Trail,Michigan,Michigan,ArcGIS longest geometry length by State,Michigan:47.9mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,46,1,2,1125,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13828
2059,Coronado Trail Scenic Byway,Arizona,Arizona,ArcGIS longest geometry length by State,Arizona:116.8mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,14,1,2,7735,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2059
54772,Coulee Corridor Scenic Byway,Washington,Washington,ArcGIS longest geometry length by State,Washington:151.5mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,103,1,2,2551,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/54772
2567,Country Music Highway,Kentucky,Kentucky,ArcGIS longest geometry length by State,Kentucky:149.5mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,232,1,2,5282,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2567
2454,Creole Nature Trail,Louisiana,Louisiana,ArcGIS longest geometry length by State,Louisiana:165.8mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,38,3,6,1075,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2454
2588,Crowley's Ridge Parkway,"Arkansas, Missouri",Arkansas,ArcGIS longest geometry length by State,Arkansas:188.8mi; Missouri:15.0mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,84,1,2,2880,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2588
81521,Cumberland Historic Byway,Tennessee,Tennessee,FHWA first state fallback,,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 6,1,1,2,1427,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81521
2176,Death Valley Scenic Byway,California,California,ArcGIS longest geometry length by State,California:87.8mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,116,1,2,2295,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2176
81486,Delaware Bayshore Byway,Delaware,Delaware,FHWA first state fallback,,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 6,22,4,8,1527,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81486
2463,Delaware River Scenic Byway,New Jersey,New Jersey,ArcGIS longest geometry length by State,New Jersey:32.3mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,38,1,2,1737,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2463
2474,Dinosaur Diamond Prehistoric Highway,"Colorado, Utah",Utah,ArcGIS longest geometry length by State,Utah:274.0mi; Colorado:119.5mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,126,2,4,5361,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2474
81527,Door County Coastal Byway,Wisconsin,Wisconsin,ArcGIS longest geometry length by State,Wisconsin:72.3mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 6,12,3,5,470,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81527
76017,East Tennessee Crossing,Tennessee,Tennessee,ArcGIS longest geometry length by State,Tennessee:83.6mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,67,1,2,11471,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/76017
2305,Ebbetts Pass Scenic Byway,California,California,ArcGIS longest geometry length by State,California:60.6mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,125,1,2,3132,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2305
2455,Edge of the Wilderness,Minnesota,Minnesota,ArcGIS longest geometry length by State,Minnesota:46.5mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,10,1,2,463,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2455
73595,Edisto Island National Scenic Byway,South Carolina,South Carolina,ArcGIS longest geometry length by State,South Carolina:12.9mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,20,1,2,389,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/73595
2065,El Camino Real,New Mexico,New Mexico,ArcGIS longest geometry length by State,New Mexico:192.3mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,2000,5,6,6986,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2065
2290,Flaming Gorge - Green River Basin Scenic Byway,Wyoming,Wyoming,FHWA first state fallback,,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 2,10,1,2,2733,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2290
2008,Flaming Gorge-Uintas National Scenic Byway,Utah,Utah,ArcGIS longest geometry length by State,Utah:79.6mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,10,1,2,2733,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2008
2095,Flint Hills Scenic Byway,Kansas,Kansas,ArcGIS longest geometry length by State,Kansas:47.4mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,16,1,2,396,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2095
75864,Florida Black Bear Scenic Byway,Florida,Florida,ArcGIS longest geometry length by State,Florida:126.2mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,34,1,2,714,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/75864
2555,Florida Keys Scenic Highway,Florida,Florida,ArcGIS longest geometry length by State,Florida:138.6mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,84,1,2,1900,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2555
77229,Forest Heritage National Scenic Byway,North Carolina,North Carolina,ArcGIS longest geometry length by State,North Carolina:17.9mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,3,1,2,829,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/77229
2108,Frontier Pathways Scenic and Historic Byway,Colorado,Colorado,ArcGIS longest geometry length by State,Colorado:88.5mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,27,1,2,2023,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2108
60807,George Washington Memorial Parkway,Virginia,Virginia,ArcGIS longest geometry length by State,Virginia:28.1mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,17,1,2,343,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/60807
2091,Geronimo Trail Scenic Byway,New Mexico,New Mexico,ArcGIS longest geometry length by State,New Mexico:147.5mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,725,1,2,5076,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2091
2483,Glenn Highway,Alaska,Alaska,ArcGIS longest geometry length by State,Alaska:151.8mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,148,1,2,30751,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2483
2109,Gold Belt Tour Scenic and Historic Byway,Colorado,Colorado,ArcGIS longest geometry length by State,Colorado:132.4mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,25,1,2,1945,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2109
2103,Grand Mesa Scenic and Historic Byway,Colorado,Colorado,ArcGIS longest geometry length by State,Colorado:61.9mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,9,2,4,2110,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2103
2243,Grand Rounds Scenic Byway,Minnesota,Minnesota,ArcGIS longest geometry length by State,Minnesota:38.7mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,8,4,7,486,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2243
2488,Great Lakes Seaway Trail,"New York, Pennsylvania",New York,ArcGIS longest geometry length by State,New York:451.3mi; Pennsylvania:57.7mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,328,2,4,8384,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2488
