fhwa_id,name,states,assigned_state,state_assignment_method,state_length_summary,designations,style,geometry_source,geometry_source_detail,segment_count,continuous_part_count,endpoint_marker_count,point_count,status,source_url
2044,Pend Oreille Scenic Byway,Idaho,Idaho,ArcGIS longest geometry length by State,Idaho:33.1mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,9,1,2,1109,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2044
2459,Peter Norbeck Scenic Byway,South Dakota,South Dakota,ArcGIS longest geometry length by State,South Dakota:68.3mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,28,1,2,4536,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2459
81573,Pine Barrens Byway,New Jersey,New Jersey,ArcGIS longest geometry length by State,New Jersey:128.8mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 6,1,1,2,1169,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81573
2049,Pioneer Historic Byway,Idaho,Idaho,ArcGIS longest geometry length by State,Idaho:114.3mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,18,1,2,2636,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2049
2457,Pyramid Lake Scenic Byway,Nevada,Nevada,ArcGIS longest geometry length by State,Nevada:37.8mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,6,1,2,896,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2457
13830,Rangeley Lakes Scenic Byway,Maine,Maine,ArcGIS longest geometry length by State,Maine:35.6mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,4,1,2,1401,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13830
2482,Red River Gorge Scenic Byway,Kentucky,Kentucky,ArcGIS longest geometry length by State,Kentucky:44.9mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,7,1,2,1201,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2482
11290,Red Rock Scenic Byway,Arizona,Arizona,ArcGIS longest geometry length by State,Arizona:14.3mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,9,1,2,867,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/11290
40532,Religious Freedom Byway,Maryland,Maryland,ArcGIS longest geometry length by State,Maryland:161.4mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,34,7,13,1889,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/40532
81518,Revolutionary Heritage Byway,Rhode Island,Rhode Island,FHWA first state fallback,,National Scenic Byway,national-scenic-byway-green,OSM补齐,OSRM public route over OSM road network using documented byway endpoints/waypoints,1,1,2,212,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81518
10781,River Road Scenic Byway,Michigan,Michigan,ArcGIS longest geometry length by State,Michigan:23.4mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,1,1,2,113,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/10781
81488,River of Lakes Heritage Corridor,Florida,Florida,ArcGIS longest geometry length by State,Florida:121.5mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 6,7,4,5,515,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81488
2147,Rogue-Umpqua Scenic Byway,Oregon,Oregon,ArcGIS longest geometry length by State,Oregon:162.8mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,43,1,2,4002,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2147
2301,Route 1 - Big Sur Coast Highway,California,California,ArcGIS longest geometry length by State,California:73.6mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,198,1,2,3367,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2301
2475,Route 1 - San Luis Obispo North Coast Byway,California,California,ArcGIS longest geometry length by State,California:58.2mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,195,1,2,1968,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2475
13739,Russell-Brasstown National Scenic Byway,Georgia,Georgia,ArcGIS longest geometry length by State,Georgia:40.9mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,13,1,2,17261,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13739
2101,San Juan Skyway,Colorado,Colorado,ArcGIS longest geometry length by State,Colorado:233.4mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,57,1,2,5027,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2101
81509,Sandhills Journey Scenic Byway,Nebraska,Nebraska,ArcGIS longest geometry length by State,Nebraska:271.3mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 6,1,1,2,1126,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81509
2287,Santa Fe Trail,"Colorado, New Mexico",New Mexico,ArcGIS longest geometry length by State,New Mexico:190.2mi; Colorado:108.3mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,2000,10,16,7220,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2287
2162,Savannah River Scenic Byway,South Carolina,South Carolina,ArcGIS longest geometry length by State,South Carolina:144.2mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,162,1,2,3025,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2162
2020,Scenic Byway 12,Utah,Utah,ArcGIS longest geometry length by State,Utah:122.9mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,8,1,2,2089,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2020
2023,Scenic Byway 143 - Utah's Patchwork Parkway,Utah,Utah,ArcGIS longest geometry length by State,Utah:49.9mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,9,1,2,567,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2023
81489,Scenic Highway 30A,Florida,Florida,ArcGIS longest geometry length by State,Florida:35.6mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 6,1,1,2,183,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81489
81484,Scenic Highway of Legends,Colorado,Colorado,ArcGIS longest geometry length by State,Colorado:81.1mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 4,14,1,2,1815,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81484
13792,Schoodic Scenic Byway,Maine,Maine,ArcGIS longest geometry length by State,Maine:26.4mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,1,1,2,312,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13792
2050,Selma to Montgomery March Byway,Alabama,Alabama,ArcGIS longest geometry length by State,Alabama:50.5mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,38,1,2,1564,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2050
81523,Sequatchie Valley Scenic Byway,Tennessee,Tennessee,FHWA first state fallback,,National Scenic Byway,national-scenic-byway-green,OSM补齐,OSRM public route over OSM road network using documented byway endpoints/waypoints,1,1,2,1147,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81523
10390,Seward Highway,Alaska,Alaska,ArcGIS longest geometry length by State,Alaska:123.3mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,126,1,2,24841,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/10390
16406,Sheyenne River Valley Scenic Byway,North Dakota,North Dakota,ArcGIS longest geometry length by State,North Dakota:76.2mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,8,7,12,541,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/16406
81485,Silver Thread Colorado Scenic & Historic Byway,Colorado,Colorado,ArcGIS longest geometry length by State,Colorado:116.8mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 4,7,1,2,2988,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81485
50186,Sky Island Scenic Byway,Arizona,Arizona,ArcGIS longest geometry length by State,Arizona:25.6mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,1,1,2,615,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/50186
60646,Skyline Drive,Virginia,Virginia,ArcGIS longest geometry length by State,Virginia:105.0mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,86,1,2,11573,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/60646
81501,St. John Valley Cultural Byway/Fish River Scenic Byway,Maine,Maine,FHWA first state fallback,,National Scenic Byway,national-scenic-byway-green,OSM补齐,OSRM public route over OSM road network using documented byway endpoints/waypoints,1,1,2,4130,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81501
10351,Staunton-Parkersburg Turnpike,West Virginia,West Virginia,ArcGIS longest geometry length by State,West Virginia:171.9mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,181,1,2,11673,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/10351
2231,Stevens Pass Greenway,Washington,Washington,ArcGIS longest geometry length by State,Washington:99.5mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,379,1,2,2960,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2231
13740,Strait of Juan de Fuca Highway - SR 112,Washington,Washington,ArcGIS longest geometry length by State,Washington:61.1mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,8,1,2,2186,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13740
2485,Talimena Scenic Drive,"Arkansas, Oklahoma",Oklahoma,ArcGIS longest geometry length by State,Oklahoma:35.2mi; Arkansas:17.6mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,8,1,2,618,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2485
2057,Talladega Scenic Drive,Alabama,Alabama,ArcGIS longest geometry length by State,Alabama:28.7mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,5,1,2,406,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2057
81503,The Battle Road Scenic Byway,Massachusetts,Massachusetts,ArcGIS longest geometry length by State,Massachusetts:14.8mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 6,29,1,2,476,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81503
13831,The Energy Loop: Huntington/Eccles Canyons Scenic Byway,Utah,Utah,ArcGIS longest geometry length by State,Utah:82.4mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,14,2,4,1063,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13831
12302,The George Parks Highway Scenic Byway,Alaska,Alaska,ArcGIS longest geometry length by State,Alaska:226.0mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,95,1,2,45365,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/12302
2302,Tioga Road/Big Oak Flat Road,California,California,ArcGIS longest geometry length by State,California:55.2mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,20,1,2,700,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2302
2119,Top of the Rockies,Colorado,Colorado,ArcGIS longest geometry length by State,Colorado:112.1mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,31,1,2,2866,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2119
2102,Trail Ridge Road/Beaver Meadow Road,Colorado,Colorado,ArcGIS longest geometry length by State,Colorado:54.5mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,15,1,2,1458,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2102
2597,Trail of the Ancients,"Colorado, Utah, New Mexico",Utah,ArcGIS longest geometry length by State,Utah:224.6mi; Colorado:106.2mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,50,1,2,5376,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2597
2092,Trail of the Mountain Spirits Scenic Byway,New Mexico,New Mexico,ArcGIS longest geometry length by State,New Mexico:92.4mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,14,1,2,1547,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2092
2094,Turquoise Trail,New Mexico,New Mexico,ArcGIS longest geometry length by State,New Mexico:60.0mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,574,1,2,3006,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2094
2587,Volcanic Legacy Scenic Byway,"California, Oregon",California,ArcGIS longest geometry length by State,California:362.6mi; Oregon:115.3mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,608,1,2,11447,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2587
13753,Washington Heritage Trail,West Virginia,West Virginia,ArcGIS longest geometry length by State,West Virginia:134.8mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,43,1,2,2254,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13753
13832,West Cascades Scenic Byway,Oregon,Oregon,ArcGIS longest geometry length by State,Oregon:194.3mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,24,1,2,3675,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13832
2593,Western Heritage Historic Byway,Idaho,Idaho,ArcGIS longest geometry length by State,Idaho:28.3mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,19,1,2,150,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2593
81512,Western Highlands Scenic Byway,New Jersey,New Jersey,FHWA first state fallback,,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 4,5,1,2,426,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81512
59011,Wetlands and Wildlife Scenic Byway,Kansas,Kansas,ArcGIS longest geometry length by State,Kansas:77.1mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,1,1,2,55,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/59011
2256,White Mountain Trail,New Hampshire,New Hampshire,ArcGIS longest geometry length by State,New Hampshire:71.0mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,30,1,2,2308,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2256
2064,White Pass Scenic Byway,Washington,Washington,ArcGIS longest geometry length by State,Washington:118.5mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,263,1,2,3147,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2064
74696,Whitewater Canal Scenic Byway,Indiana,Indiana,ArcGIS longest geometry length by State,Indiana:78.2mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 6,1,1,2,590,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/74696
6334,Wichita Mountains Byway,Oklahoma,Oklahoma,ArcGIS longest geometry length by State,Oklahoma:105.7mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,19,2,4,800,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/6334
2566,Wilderness Road Heritage Highway,Kentucky,Kentucky,ArcGIS longest geometry length by State,Kentucky:106.2mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,63,1,2,3187,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2566
81528,Wisconsin Lake Superior Scenic Byway,Wisconsin,Wisconsin,FHWA first state fallback,,National Scenic Byway,national-scenic-byway-green,OSM补齐,OSRM public route over OSM road network using documented byway endpoints/waypoints,1,1,2,2050,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81528
2345,Woodlands Trace,"Kentucky, Tennessee",Kentucky,ArcGIS longest geometry length by State,Kentucky:29.5mi; Tennessee:13.9mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 2,2,1,2,276,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/2345
13754,Woodward Avenue (M-1) - Automotive Heritage Trail,Michigan,Michigan,ArcGIS longest geometry length by State,Michigan:24.7mi,All-American Road,all-american-road-purple,ArcGIS,FeatureServer layer 1,94,1,2,614,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/13754
81524,Zion Scenic Byway,Utah,Utah,ArcGIS longest geometry length by State,Utah:56.9mi,National Scenic Byway,national-scenic-byway-green,ArcGIS,FeatureServer layer 6,1,1,2,692,matched,https://fhwaapps.fhwa.dot.gov/bywaysp/StateMaps/Show/byway/81524
